Date,Open,High,Low,Close,Volume,Marketcap,
2025-03-10,80597.14978,83955.92625,77420.59219,78532.00181,54061099422,1558440000000 ,
2025-03-09,86154.30589,86471.13016,80052.48698,80601.04131,30899345977,1598200000000 ,
2025-03-08,86742.65299,86847.26759,85247.48419,86154.59321,18206118081,1708770000000 ,
2025-03-07,89963.283,91191.04963,84717.67967,86742.67562,65945677657,1720280000000 ,
2025-03-06,90622.36116,92804.93983,87852.13848,89961.72724,47749810486,1783800000000 ,
2025-03-05,87222.95487,90998.23954,86379.77304,90623.56184,50498988027,1797290000000 ,
2025-03-04,86064.06666,88911.27408,81529.23983,87222.19221,68095241474,1729670000000 ,
2025-03-03,94248.4215,94429.74782,85081.30493,86065.66833,70072228536,1707120000000 ,
2025-03-02,86036.25755,95043.4352,85040.21116,94248.35053,58398341092,1869320000000 ,
2025-03-01,84373.86437,86522.30235,83794.23249,86031.9124,29190628396,1706160000000 ,
2025-02-28,84705.62848,85036.32223,78248.9161,84373.01033,83610570576,1673220000000 ,
2025-02-27,84076.86191,87000.78102,83144.95905,84704.22458,52659591954,1679720000000 ,
2025-02-26,88638.89346,89286.25192,82131.90136,84347.01972,64597492134,1671140000000 ,
2025-02-25,91437.11401,92511.07974,86008.23491,88736.17344,92139104128,1759580000000 ,
2025-02-24,96277.96379,96503.45443,91371.74071,91418.17367,44046480529,1812840000000 ,
2025-02-23,96577.80308,96671.87429,95270.45281,96273.91975,16999478976,1909020000000 ,
2025-02-22,96134.20191,96950.15938,95765.34039,96577.76155,18353824477,1914930000000 ,
2025-02-21,98340.67004,99497.96677,94852.95862,96125.54405,49608706470,1905830000000 ,
2025-02-20,96632.67919,98767.19374,96442.67072,98333.93783,31668022771,1949800000000 ,
2025-02-19,95532.53215,96855.59722,95011.96908,96635.61321,28990872862,1915900000000 ,
2025-02-18,95773.81624,96695.3784,93388.8322,95539.5436,37325720482,1894090000000 ,
2025-02-17,96179.00457,97032.23825,95243.54319,95773.38419,27336550690,1898790000000 ,
2025-02-16,97580.49058,97725.5973,96060.97975,96175.03204,16536755396,1906780000000 ,
2025-02-15,97508.38277,97975.03725,97240.19712,97580.34938,17047266288,1934520000000 ,
2025-02-14,96623.37087,98819.46896,96342.80603,97508.9699,32697987277,1932950000000 ,
2025-02-13,97888.74649,98111.08742,95269.7079,96623.86901,37147280860,1915450000000 ,
2025-02-12,95745.69446,98151.02693,94101.20333,97885.86306,49340445530,1940240000000 ,
2025-02-11,97438.13121,98492.90128,94875.03885,95747.43113,37488783272,1897960000000 ,
2025-02-10,96499.46209,98333.22007,95320.84203,97437.55726,40078962391,1931740000000 ,
2025-02-09,96481.31526,97325.28204,94745.26123,96500.09479,27732901800,1912830000000 ,
2025-02-08,96533.26084,96877.80734,95702.49237,96482.44987,22447526395,1912430000000 ,
2025-02-07,96581.31729,100154.1433,95653.88665,96529.08249,55741290456,1913410000000 ,
2025-02-06,96610.64023,99168.60601,95707.34992,96593.30033,45302471947,1914350000000 ,
2025-02-05,97878.00975,99113.20783,96174.82556,96615.44454,49125911241,1915010000000 ,
2025-02-04,101398.717,101745.6133,96208.10655,97871.81783,73002130211,1939250000000 ,
2025-02-03,97681.10326,102514.1747,91242.8926,101405.4231,1.15E+11,2009570000000 ,
2025-02-02,100661.5364,101430.6658,96216.07781,97688.9793,63091816853,1935750000000 ,
2025-02-01,102402.7981,102755.726,100297.7092,100655.9057,27757944848,1994940000000 ,
2025-01-31,104737.5622,106026.3503,101543.8829,102405.0271,45732764360,2029430000000 ,
2025-01-30,103709.3388,106418.7667,103321.6451,104735.3028,41915744521,2075650000000 ,
2025-01-29,101317.5273,104750.8072,101283.8227,103703.2112,47432049818,2055180000000 ,
2025-01-28,102095.4176,103730.8211,100238.1881,101332.4762,47180685494,2007520000000 ,
2025-01-27,102680.3036,103214.1105,97795.9361,102087.6913,89006608428,2023050000000 ,
2025-01-26,104713.2132,105438.6445,102507.7117,102682.497,22543395879,2034710000000 ,
2025-01-25,104824.0337,105243.7906,104120.3768,104714.6454,23888996502,2074560000000 ,
